#,Options:,,Options:,Options:,Options:,Options:,,Options:,,,Options:,
[8:0],FEPHY_RSVD_WR_ATEST0,9,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#Register_BWPLL,,,,,,,,,,,,
##BWPLLID_PLL_PU0,,,,,,,,,,,,
[15],BWPLLID_PU_ANA_LDO_1P8V_TO_0P9V,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[14],BWPLLID_PUB_ANA_LDO_1V_TO_0P3V,1,ID,WR,0x1,0x1,Y,0x0,Configurable,N/A,Y,
[13],BWPLLID_PU_ANA_LDO_3P3V_TO_1P8V,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[12],BWPLLID_PU_ANA_LDO_3P3V_TO_1V,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[11],BWPLLID_PU_ANA_LDO_1P8V_TO_0P9V_TX,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[10],BWPLLID_PU_ANA_LDO_1V_TO_0P9V,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[9],BWPLLID_PU_ANA_LDO_1V_TO_0P9V_TX,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[8],BWPLLID_PU_SLV_PRECHG,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[7],BWPLLID_PU_LDO_MAS,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[6],BWPLLID_PU_PLL,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[5:0],BWPLLID_RSVD_WR_PLL_PU0,6,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPLLID_PLL_CFG1,,,,,,,,,,,,
[15],BWPLLID_PLL_AVDD_VCO_TST_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,used to freeze CP and make CPOUT high Z in PLL
[14:12],BWPLLID_PLL_CP_ISEL,3,ID,WR,0x3,0x3,Y,0x3,Configurable,N/A,Y,config PFD's dead zone in PLL
[11],BWPLLID_PLL_CP_PUB,1,ID,WR,0x1,0x1,Y,0x0,Configurable,N/A,Y,enable PFD's dummy current in PLL
[10],BWPLLID_PLL_DAC_IN_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,enable lock detector in PLL
[9:3],BWPLLID_PLL_FBDIV_RAT,7,ID,WR,0x30,0x30,Y,0x30,Configurable,N/A,Y,config FBDIV Ratio
[2],BWPLLID_PLL_FBDIV_RSTN,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,enable Charge Pump in PLL
[1],BWPLLID_PLL_LOCKDET_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,config LPF's R1 in PLL
[0],BWPLLID_PLL_LOCK_OUT,1,OD,RD,0x0,N/A,N,N/A,N/A,N/A,,config LPF's C1 in PLL
,,,,,,,,,,,,
##BWPLLID_PLL_CFG2,,,,,,,,,,,,
[15],BWPLLID_PLL_LPF_C1_SEL,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,Y,config LPF's C2 in PLL
[14],BWPLLID_PLL_LPF_C2_SEL,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,Y,config LPF's R3 in PLL
[13:12],BWPLLID_PLL_LPF_R1_SEL,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,config LPF's C3 in PLL
[11],BWPLLID_PLL_LPF_VCON_RSTN,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,reset VCON to ground in PLL
[10],BWPLLID_PLL_PFD_FREEZE_CP_B,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,no use
[9],BWPLLID_PLL_PU_ANA_LDO_CP_VCO,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,enable VCON to testmux in PLL
[8:6],BWPLLID_PLL_VCON_DAC_SEL,3,ID,WR,0x3,0x3,Y,0x3,Configurable,N/A,Y,enable VCON buffer in PLL
[5],BWPLLID_PLL_VCON_TST_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,set VCON to 0.7V in PLL
[4],BWPLLID_PLL_VCO_LDO_BIAS_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,enable LPF's dummy current in PLL
[3:1],BWPLLID_PLL_VCO_SEL_BAND,3,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,Y,2.5V regulator output. 0:2.5V 1:2.55V 2:2.61V 3:2.68V
[0],BWPLLID_PLL_VCO_BUF_PUL_UPB,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
,,,,,,,,,,,,
##BWPLLID_PLL_CFG3,,,,,,,,,,,,
[15],BWPLLID_PLL_PFD_LDO_BIAS_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[14],BWPLLID_PLL_EN_0P9V_THRGH_MODE,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[13],BWPLLID_PLL_ICC1P25U_HALF,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[12],BWPLLID_PLL_ISAVDD10_0P9B,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[11:10],BWPLLID_PLL_SSC_PI_ISEL,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[9:8],BWPLLID_PLL_SSC_PI_RSEL,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[7],BWPLLID_PLL_SSC_EN_LPHJUMP,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[6],BWPLLID_PLL_CLK_125M_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[5],BWPLLID_PLL_EN_1P1V_THRGH_MODE,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[4],BWPLLID_PLL_EN_1P1V_THRGH_MODE_CKTREE,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[3],BWPLLID_PLL_SEL_DEGLITCH_REF_CLK,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,reference deglitch clk enable
[2:1],BWPLLID_PLL_SEL_DEGLITCH_WIDTH_REF_CLK,2,ID,WR,0x3,0x3,Y,0x3,Configurable,N/A,,reference deglitch clk bit
[0],BWPLLID_PLL_RSVD_WR_CFG3,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPLLID_PLL_ATEST,,,,,,,,,,,,
[15:12],BWPLLID_PLL_TE_BLK,4,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[11:9],BWPLLID_PLL_TR,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[8:0],BWPLLID_PLL_RSVD_ATEST,9,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPLLID_PLL_RSVD0,,,,,,,,,,,,
[15:8],BWPLLID_PLL_RSVD_WR,8,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,Reserved
[7:0],BWPLLID_PLL_RSVD_RO,8,OD,RD,0x0,N/A,N,N/A,N/A,N/A,,Reserved
,,,,,,,,,,,,
#Register_BWPHY,,,,,,,,,,,,
##BWPHYID_LPSD_CFG0,,,,,,,,,,,,
[15:0],BWPHYID_LPSD_PD_PWD,16,ID,WR,0,0,Y,0,Configurable,N/A,,code to enter LP mode
,,,,,,,,,,,,
##BWPHYID_LPSD_CFG1,,,,,,,,,,,,
[15],BWPHYID_LPSD_LATCH_EN,1,ID,WR,0,0,Y,0,Configurable,N/A,,latch enable for LPSD module
[14],BWPHYID_LPSD_REM_PD,1,ID,WR,0,0,Y,0,Configurable,N/A,,enable wake up by cable signal
[13],BWPHYID_LPSD_RSTN,1,ID,WR,0,0,Y,0,Configurable,N/A,,resetn signal from digital
[12],BWPHYID_LPSD_PS_EN,1,ID,WR,0,0,Y,0,Configurable,N/A,,enable LPSD power down mode
[11:10],BWPHYID_LPSD_VTH_SEL,2,ID,WR,0,0,Y,0,Configurable,N/A,,cable signal detect threshold select
[9],BWPHYID_LPSD_REM_ST,1,OD,RD,0,N/A,N,N/A,N/A,N/A,,waked up by remote
[8:2],BWPHYID_LPSD_RSVD_IN,7,ID,WR,0,0,Y,0,Configurable,N/A,,reserved in
[1:0],BWPHYID_LPSD_RSVD_OUT,2,OD,RD,0,N/A,N,N/A,N/A,N/A,,reserved output
,,,,,,,,,,,,
##BWPHYID_CKTREE0,,,,,,,,,,,,
[15],BWPHYID_SLAVE_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,1: enable
[14:0],BWPHYID_RSVD_WR_CKTREE0,15,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_ATEST,,,,,,,,,,,,
[15:12],BWPHYID_TE_BLK,4,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[11:9],BWPHYID_TR,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[8:0],BWPHYID_RSVD_ATEST,9,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_PU0,,,,,,,,,,,,
[15],BWPHYID_PU_CKTREE,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[14],BWPHYID_PU_PI,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,,
[13],BWPHYID_PU_TXDAC,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[12],BWPHYID_PU_TXAMP,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[11],BWPHYID_PU_CMC,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[10],BWPHYID_PU_RVGA,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[9],BWPHYID_PU_SAR,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[8],BWPHYID_PU_SAR_CM,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[7],BWPHYID_PU_TXDAC_DLY,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[6:0],BWPHYID_RSVD_WR_PU0,7,ID,WR,0x0,0x0,Y,0x64,Configurable,N/A,Y,
,,,,,,,,,,,,
##BWPHYID_PI_CFG0,,,,,,,,,,,,
[15],BWPHYID_PI_DIV2_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[14],BWPHYID_PI_DIV3_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[13],BWPHYID_PI_ADC_DUTY_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[12:11],BWPHYID_PI_RSEL,2,ID,WR,0x3,0x3,Y,0x3,Configurable,N/A,,
[10:9],BWPHYID_PI_ISEL,2,ID,WR,0x2,0x2,Y,0x2,Configurable,N/A,,
[8],BWPHYID_PI_1VR_SEL,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,
[7],BWPHYID_PI_1P8VR_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[6:0],BWPHYID_RSVD_WR_PI_CFG1,7,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_PI_CFG1,,,,,,,,,,,,
[15:13],BWPHYID_PI_CORE_VSEL,3,ID,WR,0x6,0x6,Y,0x6,Configurable,N/A,,
[12:10],BWPHYID_PI_CBUF_VSEL,3,ID,WR,0x6,0x6,Y,0x6,Configurable,N/A,,
[9:7],BWPHYID_PI_CLK_VSEL,3,ID,WR,0x4,0x4,Y,0x4,Configurable,N/A,,
[6:4],BWPHYID_PI_DEC_VSEL,3,ID,WR,0x2,0x2,Y,0x2,Configurable,N/A,,
[3:0],BWPHYID_RSVD_WR_PI_CFG2,4,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_PI_RSVD0,,,,,,,,,,,,
[15:0],BWPHYID_RSVD_WR_PI_RSVD0,16,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_RVGA0_CFG0,,,,,,,,,,,,
[15],BWPHYID_RX_BM_CP,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rvga baseline bias mode select. 0: x1; 1: x2.
[14],BWPHYID_RX_BOOST_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,"no use, boost function is removed"
[13],BWPHYID_RX_CP_START,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,"baseline charge pump enable , 0: disable; 1: enable"
[12],BWPHYID_RX_RVDD13_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rvga regulator output select. 0: 1.1V; 1: 1.3V;
[11:8],BWPHYID_RX_CSEL,4,ID,WR,0x3,0x3,Y,0x3,Configurable,N/A,,"rvga filter cap select. 0~15, with 100fF/step"
[7:0],BWPHYID_RX_RSEL,8,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,"rvga dc gain select. 0,1,3,5,8,12,24,28,56,60,120,248,255 are used, with 1~1.5 dB/step, from around -7 dB @ rsel=0"
,,,,,,,,,,,,
##BWPHYID_RVGA_CFG1,,,,,,,,,,,,
[15],BWPHYID_RX_LP_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rvga sf low power mode enable. 0: 800uA; 1: 400uA
[14],BWPHYID_RX_REG10_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rvga slave regulator select. 0: use 1.8V slave regulator; 1: 1.1V through mode
[13:12],BWPHYID_RX_VCM_SEL,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rvga output common mode select. 0: 0.55V; 1: 0.6V; 2: 0.45V; 3: 0.5V
[11],BWPHYID_RX_RTERM,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rvga 100 Ohm termination enable. 0: disable; 1: enable
[10:9],BWPHYID_RX_S2D_RDEG,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rvga baseline s2d degeneration resistor select to program baseline analog gain. 0: 15k; 1: 9k; 2: 6k; 2: 6k
[8],BWPHYID_RX_MODE_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,"rvga mode select, as echo TO_0Plogy is changed. not used. always set to 1 in firmware"
[7],BWPHYID_RX_ECHO_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rvga rx echo enable. 0: disable; 1: enable
[6],BWPHYID_RX_BM_CMFB,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rvga cmfb bias mode select. 0: small; 1: big
[5:3],BWPHYID_RX_C2_SEL,3,ID,WR,0x7,0x7,Y,0x7,Configurable,N/A,,"2RDorder filter programmability, 0~7, with 100 fF/step"
[2:0],BWPHYID_RSVD_WR_RVGA_CFG1,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,reserved
,,,,,,,,,,,,
##BWPHYID_RVGA_RSVD0,,,,,,,,,,,,
[15:0],BWPHYID_RSVD_WR_RVGA_RSVD0,16,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_SAR0_CFG0,,,,,,,,,,,,
[15],BWPHYID_SAR_TEST_CK_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[14:12],BWPHYID_SAR_VCMSEL,3,ID,WR,0x3,0x0,Y,0x0,Configurable,N/A,,
[11:10],BWPHYID_SAR_ISEL,2,ID,WR,0x3,0x0,Y,0x0,Configurable,N/A,,
[9],BWPHYID_SAR_DELAY,1,ID,WR,0x1,0x0,Y,0x0,Configurable,N/A,,
[8],BWPHYID_SAR_RSTN,1,ID,WR,0x1,0x0,Y,0x0,Configurable,N/A,,
[7],BWPHYID_SAR_REVERSE,1,ID,WR,0x1,0x0,Y,0x0,Configurable,N/A,,
[6],BWPHYID_SAR_BUFFERCM_PD,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[5:4],BWPHYID_SAR_ISELCM,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[3:2],BWPHYID_SAR_GAINCM,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[1:0],BWPHYID_RSVD_WR_SAR0_CFG0,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_SAR_RSVD0,,,,,,,,,,,,
[15:0],BWPHYID_RSVD_WR_SAR_RSVD0,16,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_CMC_CFG0,,,,,,,,,,,,
[15:12],BWPHYID_CMC_STRENGTH,4,ID,WR,0x7,0x7,Y,0x7,Configurable,N/A,,
[11:9],BWPHYID_CMC_VREF_SEL,3,ID,WR,0x3,0x3,Y,0x3,Configurable,N/A,,
[8:0],BWPHYID_RSVD_WR_CMC_CFG0,9,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_TX_CFG0,,,,,,,,,,,,
[15:13],BWPHYID_TX_AMP_BM,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[12],BWPHYID_TX_IBOOST,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[11:10],BWPHYID_TX_AMP_IB,2,ID,WR,0x1,0x1,Y,0x0,Configurable,N/A,Y,
[9:8],BWPHYID_TX_RVDD_SEL,2,ID,WR,0x1,0x1,Y,0x0,Configurable,N/A,Y,
[7:6],BWPHYID_TX_AMP_MODE,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[5:4],BWPHYID_TX_AMP_ISEL,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[3:0],BWPHYID_TX_DAC_IDC_SEL,4,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
,,,,,,,,,,,,
##BWPHYID_TX_CFG1,,,,,,,,,,,,
[15:10],BWPHYID_TX_DAC_BM,6,ID,WR,0x2,0x2,Y,0x2,Configurable,N/A,Y,
[9:8],BWPHYID_TX_DAC_MODE,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[7],BWPHYID_TX_ECHO_EN,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,Y,
[6:0],BWPHYID_RSVD_WR_TX_CFG1,7,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_RSVD_TX0,,,,,,,,,,,,
[15:0],BWPHYID_RSVD_WR_RSVD_TX0,16,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##BWPHYID_RSVD0,,,,,,,,,,,,
[15:8],BWPHYID_RSVD_WR_RSVD0,8,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[7:0],BWPHYID_RSVD_RO_RSVD1,8,OD,RD,0x0,N/A,N,N/A,N/A,N/A,,
,,,,,,,,,,,,
#Register_SDSPLL,,,,,,,,,,,,
##SDSPLLID_PU0,,,,,,,,,,,,
[15],SDSPLLID_PU_ANA_LDO_1P8V_TO_0P9V,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[14],SDSPLLID_PU_ANA_LDO_3P3V_TO_1V,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,Y,
[13],SDSPLLID_PU_ANA_LDO_1V_TO_0P9V,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[12],SDSPLLID_PU_ANA_LDO_1V_TO_0P9V_TX,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[11],SDSPLLID_PU_PLL,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[10:0],SDSPLLID_RSVD_WR_PU0,11,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
,,,,,,,,,,,,
,,,,,,,,,,,,
##SDSPLLID_CFG0,,,,,,,,,,,,
[15],SDSPLLID_PLL_AVDD_VCO_TST_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[14:12],SDSPLLID_PLL_CP_ISEL,3,ID,WR,0x3,0x3,Y,0x3,Configurable,N/A,,
[11],SDSPLLID_PLL_CP_PUB,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,Y,
[10],SDSPLLID_PLL_DAC_IN_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[9:3],SDSPLLID_PLL_FBDIV_RAT,7,ID,WR,0x32,0x32,Y,0x32,Configurable,N/A,,
[2],SDSPLLID_PLL_FBDIV_RSTN,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[1],SDSPLLID_PLL_LOCKDET_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[0],SDSPLLID_PLL_LOCK_OUT,1,OD,RD,0x0,N/A,N,N/A,N/A,N/A,,
,,,,,,,,,,,,
##SDSPLLID_CFG1,,,,,,,,,,,,
[15],SDSPLLID_PLL_LPF_C1_SEL,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,
[14],SDSPLLID_PLL_LPF_C2_SEL,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,
[13:12],SDSPLLID_PLL_LPF_R1_SEL,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[11],SDSPLLID_PLL_LPF_VCON_RSTN,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
[10],SDSPLLID_PLL_PFD_FREEZE_CP_B,1,ID,WR,0x1,0x1,Y,0x0,Configurable,N/A,Y,
[9],SDSPLLID_PLL_PU_ANA_LDO_CP_VCO,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,
[8:6],SDSPLLID_PLL_VCON_DAC_SEL,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[5],SDSPLLID_PLL_VCON_TST_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[4],SDSPLLID_PLL_VCO_LDO_BIAS_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[3:1],SDSPLLID_PLL_VCO_SEL_BAND,3,ID,WR,0x2,0x2,Y,0x2,Configurable,N/A,,
[0],SDSPLLID_PLL_VCO_BUF_PUL_UPB,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,Y,
,,,,,,,,,,,,
##SDSPLLID_CFG2,,,,,,,,,,,,
[15:14],SDSPLLID_PLL_VREF_SEL,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[13],SDSPLLID_PLL_PFD_LDO_BIAS_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[12],SDSPLLID_PLL_EN_0P9V_THRGH_MODE,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[11],SDSPLLID_PLL_PI_ISEL,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,
[10],SDSPLLID_PLL_SEL_DEGLITCH_REF_CLK,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,sds reference deglitch clk enable
[9:8],SDSPLLID_PLL_SEL_DEGLITCH_WIDTH_REF_CLK,2,ID,WR,0x3,0x3,Y,0x3,Configurable,N/A,,
[7:5],SDSPLLID_PLL_BIAS_CFG,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[4:0],SDSPLLID_PLL_RSVD_WR_PLL_CFG2,5,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##SDSPLLID_ATEST,,,,,,,,,,,,
[15:11],SDSPLLID_TE_BLK,5,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[10:8],SDSPLLID_TR,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
[7:0],SDSPLLID_RSVD_WR_SDSPHYID_ATEST,8,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
,,,,,,,,,,,,
##SDSPLLID_AZCAL0,,,,,,,,,,,,
[15],SDSPLLID_PLL_AZCMPOUT,1,OD,RD,0x1,N/A,N,N/A,N/A,N/A,,auto-zero comparator output
[14],SDSPLLID_PLL_AZB,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,auto-zero start signal
[13:11],SDSPLLID_PLL_AZSEL,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,auto-zero input selection
